은행,「자본시장과 금융투자업에 관한 법률」제12조에 따라 증권을 대상으로 투자매매업·투자중개업의 인가를 받은 투자매매업자·투자중개업자, 보험회사, 종합금융회사, 상호저축은행이 예금보험대상입니다.
아래 검색 기능을 통해 각 금융권역별 금융회사의 이름과 주소 등을 검색하실 수 있습니다.
금융권역, 회사명 검색하기
금융권역
전체
은행
종합금융회사
생명보험회사
손해보험회사
투자매매업자ㆍ투자중개업자
상호저축은행
신용협동조합
회사명
검색
초기화
25.12월 기준
좌우로 움직여보세요
금융권역 | 회사명 | 주소 | 연락처 | FAX | 대표자명
투자매매업자ㆍ투자중개업자 | 웰컴자산운용 주식회사 | 서울특별시 용산구 한강대로 148 15층 (한강로2가 웰컴금융타워) | 02-6353-7300 |  | 한승철
상호저축은행 | 웰컴저축은행 주식회사 | 서울특별시 용산구 한강대로 148 | 02-1661-0001 | 02-3462-6981 | 박종성손대희
상호저축은행 | (주)유니온저축은행 | 대구 중구 달구벌대로 2210 | 053-256-4000 | 053-754-9565 | 강용석
투자매매업자ㆍ투자중개업자 | 유리자산운용(주) | 서울시 영등포구 국제금융로 6길 17 부국증권빌딩 8층 | 02-2168-7900 | 02-2168-7999 | 조우철
은행 | 유바프 | 서울특별시 중구 통일로 92 ACE 타워빌딩 3층 | 02-3455-5300 | 02-3455-5353 | 올리비에 토퓨즈
은행 | 유비에스 | 서울특별시 종로구 우정국로 26(센트로폴리스 A동 15층) | 02-3707-3800 | 02-3707-3881 | 권순옥
투자매매업자ㆍ투자중개업자 | 유비에스증권 리미티드 서울지점 | 서울특별시 종로구 우정국로 26 센트로폴리스 B동 9층 | 02-3702-8888 |  | 장세윤
상호저축은행 | 유안타저축은행(주) | 서울 강남구 강남대로 542 (논현동영풍빌딩) | 02-6022-3700 | 02-3466-1340 | 정영석
투자매매업자ㆍ투자중개업자 | 유안타증권(주) | 서울특별시 영등포구 국제금융로 39 | 02-3770-2000 | 02-783-6589 | 뤄즈펑
투자매매업자ㆍ투자중개업자 | 유진자산운용 주식회사 | 서울특별시 영등포구 국제금융로 39  앵커원 16층 (여의도동) | 02-2129-3300 |  | 진영재
투자매매업자ㆍ투자중개업자 | 유진투자증권(상장) | 서울시 영등포구 국제금융로 24 유진빌딩 | 02-368-6000 | 02-368-6720 | 유  창  수
투자매매업자ㆍ투자중개업자 | 유화증권 | 서울특별시 영등포구 국제금융로2길 36 유화증권빌딩 | 02-3770-0100 | 02-3770-0236 | 서태영
상호저축은행 | 융창저축은행 | 경기 광명시 철산로 5  1층 (철산3동융창빌딩) | 02-2685-0001 | 02-2682-6700 | 임동현 장호찬
투자매매업자ㆍ투자중개업자 | 이지스자산운용주식회사 | 서울시 영등포구 여의공원로 115 세우빌딩 14층 | 154-4-7373 | 02-2112-4003 | 신동훈 이규성 정석우
은행 | 인도네시아느가라은행 서울지점 | 서울 중구 세종대로 17 와이즈타워 8층 | 02-6386-8646 |  |
상호저축은행 | (주)인성저축은행 | 인천광역시 미추홀구 경인로 339 | 032-865-3911 | 032-865-4152 | 김성근
상호저축은행 | (주)인천저축은행 | 인천 미추홀구 경인로 473 (주안6동) | 032-421-2111 | 032-437-8605 | 김관배
상호저축은행 | 저축은행중앙회 | 서울특별시 종로구 새문안로 5길 37 10층(도렴동) | 02-397-8600 | 02-3978-632 | 최규연
은행 | 전북은행 | 전라북도 전주시 덕진구 백제대로 566 | 063-250-7114 | 063-250-7275 | 서한국
투자매매업자ㆍ투자중개업자 | 제이비자산운용주식회사 | 전북특별자치도 전주시 덕진구 백제대로 566(금암동 전북은행빌딩) | 02-3782-5000 | 02-3782-5077 | 최원철
상호저축은행 | 제이티저축은행 | 경기 성남시 분당구 황새울로 324 (서현동) | 02-1688-8877 | 031-788-0639 | 박중용
상호저축은행 | 제이티친애저축은행 주식회사 | 서울 강남구 봉은사로37길 7-9JTCSB빌딩 | 02-1544-9191 | 02-6711-5005 | 최성욱
투자매매업자ㆍ투자중개업자 | 제이피모간 증권회사 서울지점 | 12/F Tower 2 The Quayside 77 Hoi Bun Road Kwun Tong Kowloon Hong Kong 서울 중구 서소문로11길 35 제이피모간플라자 | 7585700 | 02-779-0553 | 하진수
은행 | 제이피모건체이스 | 서울특별시 중구 서소문로11길 35제이피 모간 프라자 | 02-758-5114 | 02-758-5423 | 임석정
은행 | 제주은행 | 제주특별자치도 제주시 오현길 90 | 064-720-0200 | 064-720-0183 | 박우혁
상호저축은행 | 조은저축은행 | 서울특별시 강남구 강남대로 574 1~3층 | 02-2260-0700 | 02-2277-3905 | 전우석
상호저축은행 | (주)조흥저축은행 | 경남 통영시 항남5길 9 (항남동) | 055-645-4411 | 055-645-4418 | 박진
생명보험회사 | 주식회사 iM라이프생명보험 | 부산광역시 부산진구 중앙대로775번길 5 1201호 (부전동 삼정기업빌딩) | 02-2087-9301 | 02-2087-9358 | 박경원
투자매매업자ㆍ투자중개업자 | 주식회사 상상인증권 | 서울시 영등포구 여의대로 108 파크원타워1 | 02-1566-0900 | 02-771-4659 | 주원
투자매매업자ㆍ투자중개업자 | 주식회사 아이엠증권 | 부산광역시 동래구 온천장로 121 | 158-8-7171 | 02-2122-9070 | 박태동
투자매매업자ㆍ투자중개업자 | 주식회사 우리투자증권 | 서울특별시 영등포구 의사당대로 96 19-22층(여의도동 TP Tower) | 02-2000-6600 | 02-710-2790 | 남기천
은행 | 주식회사 카카오뱅크 | 경기도 성남시 분당구 판교역로 231 에스동 5층 | 02-6288-6000 |  | 윤호영
손해보험회사 | 주식회사 카카오페이손해보험 | 경기도 성남시 분당구 판교역로 152 4층(백현동 알파돔타워) | 154-4-0022 | 1544-0022 | 장영근
투자매매업자ㆍ투자중개업자 | 주식회사 카카오페이증권 (비상장) | 경기도 성남시 분당구 판교역로 166 비동 8층(백현동 카카오판교아지트) | 160-0-8515 |  | 신호철
은행 | 주식회사 케이뱅크은행 | 서울시 종로구 종로1길 50 비동16층(중학동 더케이트윈타워) | 02-3210-7019 |  | 서호성
생명보험회사 | 주식회사 케이비라이프생명보험 | 서울 강남구 강남대로 298 KB라이프타워 | 02-2144-2000 | 02-2144-2424 | 정문철
투자매매업자ㆍ투자중개업자 | 주식회사 코람코자산운용 | 서울특별시 강남구 삼성로 511 2층 | 02-787-0101 |  | 윤장호김태원
투자매매업자ㆍ투자중개업자 | 주식회사 한국스탠다드차타드증권(비상장) | 서울특별시 종로구 종로47 | 370-3-5000 |  | 권용관
은행 | 중국건설은행 | 서울시 중구 명동11길 24 중국건설은행타워 | 02-6730-3600 | 02-6730-1701 | 전민
은행 | 중국공상은행 | 서울특별시 중구 세종대로73 태평로빌딩 1 16 18층 | 02-755-5688 | 02-756-3127 | 우건군
은행 | 중국광대은행주식유한회사 서울지점 | 서울 종로구 청계천로 41 영풍빌딩 23층 | 02-3788-3700 |  | 
은행 | 중국농업은행주식유한회사 | 서울시 중구 세종대로 136 서울파이낸스센터 14층 | 02-3788-3900 | 02-3788-3901 | 구택파
은행 | 중국은행 | 서울특별시 서린동 33번지 영풍빌딩 1~3층 | 02-399-6699 | 02-399-6265 | 황덕
은행 | 중소기업은행 | 서울특별시 중구 을지로 79 | 02-1588-2588 | 02-729-6304 | 윤종원
상호저축은행 | (주)진주저축은행 | 경남 진주시 진양호로 532 (동성동) | 055-740-0100 | 055-745-9001 | 박기권
상호저축은행 | (주)참저축은행 | 대구 수성구 달구벌대로 2421 (범어동참저축은행) | 053-720-7300 | 053-720-7400 | 김유환
생명보험회사 | 처브라이프생명보험주식회사 | 서울특별시 강남구 테헤란로 401 11층 (삼성동 남경센타) | 210-7-4600 | 02-2107-4700 | 김형석
투자매매업자ㆍ투자중개업자 | 천안농업협동조합 | 충청남도 천안시 동남구 대흥로 277 | 041-568-1783 |  | 
상호저축은행 | (주)청주저축은행 | 충북 청주시 상당구 사직대로350번길 53 (서문동) | 043-256-9114 | 043-257-9114 | 이현식
투자매매업자ㆍ투자중개업자 | 칸서스자산운용주식회사 | 서울특별시 영등포구 국제금융로8길 3110층(여의도동) | 02-2077-5000 |  | 김연수
손해보험회사 | 캐롯손해보험주식회사 | 서울 중구 을지로 100 파인에비뉴 B동 20층 | 02-1566-0300 | 02-1566-0300 | 문효일
생명보험회사 | 케이디비생명보험주식회사 | 서울시 용산구 한강대로 372 KDB생명타워 | 02-6303-5000 | 02-771-7561 | 김병철
투자매매업자ㆍ투자중개업자 | 케이비자산운용(주) | 서울특별시 영등포구 국제금융로 10 32 4041층(여의도동쓰리아이에프씨) | 02-2167-8200 |  | 김영성
상호저축은행 | (주)케이비저축은행 | 서울시 송파구 송파대로 260 | 02-2146-8200 | 02-2146-8299 | 곽산업
투자매매업자ㆍ투자중개업자 | 케이씨지아이자산운용㈜ | 서울특별시 영등포구 국제금융로10 One IFC 15층 | 02-6320-3000 | 02-6320-3009 | 목대균 조원복
투자매매업자ㆍ투자중개업자 | 케이알투자증권(주) | 서울 영등포구 여의나루로 57 14층 | 02-2168-7400 | 02-2168-7400 | 이인혁
투자매매업자ㆍ투자중개업자 | 케이프투자증권 주식회사 (비상장) | 서울 영등포구 여의대로 108 (여의도동 파크원 타워2 38층) | 02-6923-7000 |  | 임 태 순
투자매매업자ㆍ투자중개업자 | 코리아에셋투자증권(주) | 서울 영등포구 여의나루로 57(신송센터빌딩 12층) | 02-550-6200 | 02-550-6250 | 기동호 김은섭
투자매매업자ㆍ투자중개업자 | 크레디 아그리콜 아시아증권 | 외국본점 : Credit Agricole Securities (Asia) Limited. (30th Floor Two Pacific Place 88 Queensway Hong Kong / 국내지점 : 크레디아그리콜 아시아증권 서울지점(서울시 종로구 종로 1 (종로1가) 교보빌딩 21층) | 02-3700-3500 | 02-733-1796 | 조성민
은행 | 크레디 아그리콜 코퍼레이트 앤 인베스트먼트 뱅크 | 서울특별시 종로구 종로 1 교보빌딩 21층 | 02-3700-9500 | 02-738-0325 | 장 피에르 트리넬
상호저축은행 | (주)키움예스저축은행 | 서울 강남구 논현로 422 (역삼2동) | 02-558-2501 | 02-552-4288 | 이동율
상호저축은행 | (주)키움저축은행 | 경기 부천시 원미구 부천로 157 (춘의동) | 167-0-0077 | 031-611-0251 | 송호영
투자매매업자ㆍ투자중개업자 | 키움증권(주) | 서울특별시 영등포구 의사당대로 96 TP Tower | 02-3787-5000 | 02-3787-5136 | 엄주성
투자매매업자ㆍ투자중개업자 | 키움투자자산운용주식회사 | 서울특별시 영등포구 의사당대로 96 TP타워 1112층 | 02-789-0300 | 02-789-0443 | 김기현
은행 | 토스뱅크 주식회사 | 서울특별시 강남구 테헤란로 131 한국지식재산센터 한국지식재산센터 13층 | 166-1-7654 |  | 홍민택
투자매매업자ㆍ투자중개업자 | 토스증권 주식회사 | 서울특별시 강남구 테헤란로 133 7층(역삼동 한국타이어빌딩) | 159-9-7987 | 1599-7987 | 김규빈
투자매매업자ㆍ투자중개업자 | 트러스톤자산운용(주) | 서울특별시 성동구 뚝섬로1길 10(성수동1가) | 02-6308-0500 | 02-6308-0688 | 황성택이성원김영호
투자매매업자ㆍ투자중개업자 | 파인트리자산운용(주) | 서울시 영등포구 의사당대로8 601호(여의도동태흥빌딩) | 070-8622-4778 |  | 이성제김하석
투자매매업자ㆍ투자중개업자 | 파주연천축산업협동조합 | 경기도 파주시 문화로 90 | 031-944-2425 |  | 
은행 | 파키스탄국립은행 | 서울특별시 종로구 종로 1 교보빌딩 22층 | 02-732-0277 | 02-734-5817 | 임란 셰자드 
손해보험회사 | 팩토리뮤추얼인슈런스컴퍼니 한국지점 | 서울특별시 중구 을지로5길 26 서관 27층 | 02-6370-6000 | 02-6370-6000 | 권성준
손해보험회사 | 퍼스트어메리칸권원보험㈜한국지점 | 서울시 마포구 마포대로4다길 41(마포동마포타워14층) | 02-3144-2460 | 02-3144-2466 | 최명석
상호저축은행 | 페퍼저축은행 | 경기 성남시 분당구 황새울로 340(서현동) 페퍼존빌딩 | 159-9-0722 | 031-504-0009 | 장매튜하돈
상호저축은행 | (주)평택저축은행 | 경기도 평택시 평택1로 23 (평택동) | 031-659-3300 | 031-659-3388 | 서순희
상호저축은행 | 푸른저축은행 | 서울 서초구 강남대로 581 | 02-545-9000 | 02-545-0565 | 송명구
생명보험회사 | 푸본현대생명보험주식회사 | 서울특별시 영등포구 여의나루로 57 (여의도동 신송센터) | 694-0-5350 | 02-3284-7455 | 이재원
투자매매업자ㆍ투자중개업자 | 플러스자산운용주식회사 | 서울시 영등포구 국제금융로10 36층 (Three IFC) | 02-3787-2700 |  | 백운성
생명보험회사 | 하나생명보험주식회사 | 서울특별시 중구 을지로 66 | 02-3709-7300 | 02-3709-8683 | 남궁원
손해보험회사 | 하나손해보험주식회사 | 서울시 종로구 창경궁로 117 (하나손해보험빌딩 인의동) | 02-6670-8100 | 02-6670-8000 | 김재영
은행 | 하나은행 | 서울특별시 중구 을지로 35 | 02-3788-5464 |  | 박성호
투자매매업자ㆍ투자중개업자 | 하나자산운용(주) | 서울 영등포구 의사당대로 82 (여의도동) | 02-3771-7800 |  | 김태우
상호저축은행 | (주)하나저축은행 | 강남구 테헤란로 127 하나금융그룹 강남사옥 16층 | 189-9-1122 | 02-2230-2410 | 양동원
투자매매업자ㆍ투자중개업자 | 하나증권(주) | 서울 영등포구 의사당대로 82[여의도동] | 02-3771-7114 | 02-780-2441 | 강성묵
투자매매업자ㆍ투자중개업자 | 하우자산운용(주) | 서울특별시 강남구 테헤란로 223 큰길타워 15층 | 02-2050-4700 | 02-2050-4705 | 윤석민
은행 | 한국산업은행 | 서울특별시 영등포구 은행로 14 | 02-787-4000 | 02-787-6191 | 이동걸
은행 | 한국스탠다드차타드은행 | 서울특별시 종로구 종로 47 | 02-3702-3114 | 02-3702-4965 | 박종복
은행 | 한국씨티은행 | 서울 종로구 새문안로 50(신문로 2가) | 02-3455-2114 | 02-3455-2955 | 유명순
투자매매업자ㆍ투자중개업자 | 한국아이엠씨증권 주식회사 | 서울특별시 영등포구 여의대로 24 40층 (여의도동) | 02-2070-1500 | 02-2070-1500 | 조민철 매튜존베니
투자매매업자ㆍ투자중개업자 | 한국에스지증권주식회사 | 서울특별시 중구 세종대로 136 SFC 24층 | 02-2195-7777 |  | 강준환
투자매매업자ㆍ투자중개업자 | 한국증권금융㈜ | 서울 영등포구 국제금융로8길 10 | 02-3770-8800 |  | 박재식
투자매매업자ㆍ투자중개업자 | 한국투자밸류자산운용주식회사 | 서울특별시 영등포구 국제금융로2길 28 | 02-6978-6300 |  | 이석로
투자매매업자ㆍ투자중개업자 | 한국투자신탁운용(주) | 서울특별시 영등포구 여의대로 24 | 02-2055-5555 | 02-3276-4715 | 배재규
상호저축은행 | (주)한국투자저축은행 | 경기 성남시 분당구 서현동 184 | 157-7-6333 | 031-788-4070 | 전찬우
투자매매업자ㆍ투자중개업자 | 한국투자증권주식회사 | 서울특별시 영등포구 의사당대로 88 | 02-3276-5000 | 02-789-4055 | 김성환
상호저축은행 | (주)한성저축은행 | 충청북도 옥천군 옥천읍 중앙로 32 | 043-730-0500 | 043-270-7002 | 오종민 오의치
투자매매업자ㆍ투자중개업자 | 한양증권주식회사 | 서울특별시 영등포구 국제금융로6길 7 한양증권빌딩 | 02-3770-5000 | 02-780-7693 | 김병철
생명보험회사 | 한화생명보험주식회사 | 서울시 영등포구 63로 50 | 158-8-6363 | 02-789-8212 | 권혁웅 이경근
손해보험회사 | 한화손해보험주식회사 | 서울특별시 영등포구 여의대로 56 | 02-1566-8000 | 02-316-0658 | 나채범
투자매매업자ㆍ투자중개업자 | 한화자산운용(주) | 서울시 영등포구 63로 50(여의도동) | 02-6950-0000 | 02-3772-6000 | 김종호
상호저축은행 | (주)한화저축은행 | 경기도 부천시 신흥로 179 1층 6층 | 032-657-5000 | 032-666-2320 | 강성수
투자매매업자ㆍ투자중개업자 | 한화투자증권주식회사(상장) | 서울특별시 영등포구 여의대로 56 | 02-3772-7000 | 02-3772-7219 | 장병호
상호저축은행 | 합자회사 영진저축은행 | 경기 부천시 부일로 472 | 032-651-2121 | 032-664-2316 | 이찬묵
투자매매업자ㆍ투자중개업자 | 현대인베스트먼트자산운용(주) Hyundai Investments co.Ltd. | 서울특별시 영등포구 국제금융로8길 16 신영증권빌딩 10층 | 02-6276-7000 | 02-6276-7010 | 김승호
투자매매업자ㆍ투자중개업자 | 현대자산운용주식회사 | 서울특별시 영등포구 여의대로 24 20층(여의도동 FKI타워) | 02-2090-0500 |  | 정욱
투자매매업자ㆍ투자중개업자 | 현대차증권주식회사 | 서울특별시 영등포구 국제금융로 2길 28 | 02-3787-2245 | 02-3787-2143 | 배형근
손해보험회사 | 현대해상화재보험주식회사 | 서울시 종로구 세종대로 163 (세종로) | 158-8-5656 | 02-732-5687 | 이석현
은행 | 호주뉴질랜드 | 서울 영등포구 국제금융로 10 Three IFC 30층 | 02-3700-3100 | 02-737-6325 | Tareq Nuhmoog
은행 | 홍콩상하이은행 | 서울특별시 중구 칠패로 37 HSBC빌딩 | 02-2004-0123 | 02-318-9100 | 마틴 트리코드
투자매매업자ㆍ투자중개업자 | 홍콩상하이증권 서울지점 | 서울시 중구 칠패로 37 | 02-3706-8700 | 02-3706-8747 | 이상호
생명보험회사 | 흥국생명보험주식회사 | 서울시 종로구 새문안로 68 | 02-2002-7000 | 02-2002-7804 | 김형표
투자매매업자ㆍ투자중개업자 | 흥국자산운용(주) | 서울 종로구 새문안로 68(신문로1가) 흥국생명빌딩 19층 | 02-2122-2800 | 02-768-6520 | 이두복
상호저축은행 | (주)흥국저축은행 | 부산 연제구 중앙대로 1076 (연산동) | 051-925-2100 | 051-925-2108 | 최병진
투자매매업자ㆍ투자중개업자 | 흥국증권주식회사 | 서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워14층 | 02-6742-3600 | 02-780-8288 | 손석근
손해보험회사 | 흥국화재해상보험주식회사 | 서울시 종로구 새문안로 68 | 02-2002-6000 | 02-2002-6021 | 김대현
